#,Subjects,Start date,Close Date
9832,No validation provided for guardian details page when fields kept blank ,01-Mar-21,10-Mar-21
9830,Create new folio - Accepts date of birth less than 18 years ,01-Mar-21,10-Mar-21
9823,Create new folio - pan number should be in capital letters and a validation should be provided ,01-Mar-21,10-Mar-21
9817,Create new folio - Accepts mobile number starting from 5 ,01-Mar-21,10-Mar-21
9329,Pan number field and pan name field should be non editable and prefilled for user ,18-Feb-21,08-Mar-21
9222,Redeem- Amount in words is displayed wrong ,18-Feb-21,25-Feb-21
9216,When switching from full redeem to partial redeem the amount displayed is wrong.,18-Feb-21,22-Mar-21
8074,Absolute return values are not displayed ,02-Feb-21,25-Feb-21
8071,ISIP second debit can be set as current date ,02-Feb-21,16-Feb-21
8070,Second debit date is accepted less than 21 days from current date ,02-Feb-21,15-Feb-21
8068,For weekly frequency it accepts wrong days,02-Feb-21,25-Feb-21
8066,Fortnightly frequency accept wrong dates ,02-Feb-21,25-Feb-21
8062,Accepts invalid code for  sub distributor ARN and internal sub broker /employee code,02-Feb-21,15-Feb-21
8017,Amount is not displayed in Full Switch mode,02-Feb-21,10-Mar-21
7993,Error message is displayed wrong,01-Feb-21,28-Apr-21
7991,Incorrect amount is displayed in words ,01-Feb-21,15-Feb-21
7987,Bank details section is not working properly ,01-Feb-21,15-Feb-21
7985,Minimum investment amount for quarterly and fortnightly are not displayed properly,01-Feb-21,15-Feb-21
7984,Incorrect number of installments and minimum investment amount  displayed,01-Feb-21,15-Feb-21
7983,Multiple options can be selected in SWP percentage selector,01-Feb-21,15-Feb-21
7898,Accepts incorrect debit date in ISIP ,29-Jan-21,15-Feb-21
7893,Second debit date and end date displays incorrect date,29-Jan-21,06-Feb-21
7774,Transaction  is not taking place,28-Jan-21,15-Feb-21
7718,End date is not changing for Annual/Quarterly frequency,27-Jan-21,15-Feb-21
7704,"In SIP Frequency, tabs are displayed multiple times",27-Jan-21,06-Feb-21
7682,Current value in rupees is not displayed ,25-Jan-21,16-Feb-21
7672,Continue to payment button is not working,25-Jan-21,02-Mar-21
7671,"No validation provided for ""Enter Your Investment Amount"" field",25-Jan-21,16-Feb-21
7337,Accepts different name in pan name name field,19-Jan-21,12-Mar-21
7326,KYC verified PAN id is considered as non-KYC verified PAN id,19-Jan-21,06-Mar-21
7321,By default Mutual Fund tab not showing as selected,19-Jan-21,20-Aug-21
5769,"CMS - Accepts invalid inputs in name, designation and description field",16-Dec-20,16-Dec-20
5744,CMS(About us) - image not displayed on website,16-Dec-20,16-Dec-20
5664, Minimum scroll bar amount displayed in textbox is upto 25000,14-Dec-20,19-Mar-21
5657,Minimum scroll bar is upto Rs. 2500 ,14-Dec-20,19-Mar-21
